,source,target,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
108,CCL18_Macrophages,vCM_4,Ligand,Receptor,CALM1,RYR2,105.904854
109,Fib_3,vCM_4,Ligand,Receptor,CALM1,RYR2,105.90215
110,LYVE_PLTP_Macrophages,vCM_4,Ligand,Receptor,CALM1,RYR2,105.90025
111,Pericyte_1,vCM_4,Ligand,Receptor,CALM1,RYR2,105.89152
112,SPP1_Macrophages,vCM_4,Ligand,Receptor,CALM1,RYR2,105.8909
113,vSMCs_2,vCM_4,Ligand,Receptor,CALM1,RYR2,105.88692
114,healthy_CM,vCM_4,Ligand,Receptor,S100A1,RYR2,105.88265
115,Purkinje_fibers,vCM_4,Ligand,Receptor,S100A1,RYR2,105.86992
116,vCM_4,vCM_4,Ligand,Receptor,S100A1,RYR2,105.85771
117,damaged_CM,vCM_4,Ligand,Receptor,S100A1,RYR2,105.85082
118,vCM_3,vCM_4,Ligand,Receptor,S100A1,RYR2,105.84436
119,vCM_4,vCM_4,Ligand,Receptor,CALM3,RYR2,105.84206
120,intermediate_CM,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.31509
121,healthy_CM,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.22542
122,vCM_4,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.14815
123,damaged_CM,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.140366
124,Pericyte_2,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.12701
125,Endocardial_Endo,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.1192
126,Capillary_Endo,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.09256
127,vCM_3,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.08057
128,Arterial_Endo,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.06557
129,prolif,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.04766
130,perivascular_fibroblasts,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.03507
131,Venous_Endo,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.03499
132,NK_T,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.02935
133,Purkinje_fibers,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.02731
134,Adipo,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.026634
135,Fib_SCARA5,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.02236
136,Neuronal,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.02154
137,Myofib,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.01659
138,Fib_0,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.01424
139,intermediate_CM,damaged_CM,Ligand,Receptor,S100A1,RYR2,71.01176
140,CD4,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.005295
141,vSMCs_1,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.00461
142,Mast,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.00252
143,LYVE_FOLR_Macrophages,damaged_CM,Ligand,Receptor,CALM1,RYR2,71.00014
144,CD8,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.99974
